poiName,,,,lat,long,Tag,,City/Town,Province,Street Name,Barangay,Postal Code,Country
KIN Coffee,,,,13.13878,123.73714,Cafe,,Legazpi City,Albay,Rizal Street,Ilawod Poblacion,4500,PHL
The Oriental Legazpi,,,,13.13465,123.73873,Hotel,,Legazpi City,Albay,Taysan Hill,Taysan,4500,PHL
Mayon Black Lava Zipline Adventure,,,,13.20269,123.71309,Trail,,Legazpi City,Albay,ATV Trail,Mabinit,4500,PHL
"Risen Christ Statue, Banquerohan",,,,13.05311,123.76112,Statue,,Legazpi City,Albay,Banquerohan Resettlement Site,Banquerohan,4500,PHL
NEUHAUS INN,,,,13.15085,123.72658,Inn,,Legazpi City,Albay,Magayon Drive,Maroroy,4500,PHL
Assemblr Cafe,,,,13.15431,123.74296,Cafe,,Legazpi City,Albay,Imelda C. Roces Avenue,Cruzada,4500,PHL
Kapuntukan Resto Bar and Grille,,,,13.14411,123.76155,Restobar,,Legazpi City,Albay,Legazpi Boulevard,Victory Village North,4500,PHL
Legazpi City People's Park,,,,13.13429,123.76556,Park,,Legazpi City,Albay,Legazpi Boulevard,Puro,4500,PHL
Pacific Mall,,,,13.14537,123.74971,Mall,,Legazpi City,Albay,F. Imperial St,Kapantawan,4500,PHL
Small Talk Café,,,,13.13845,123.73707,Cafe,,Legazpi City,Albay,Doña Aurora Street,Ilawod Poblacion,4500,PHL
Secret Shop Rawis,,,,13.1749,123.75249,Bar,,Legazpi City,Albay,Tiwi Coastal Rd,Rawis,4500,PHL
Our Mother of Perpetual Help Shrine,,,,13.15706,123.74291,Shrine,,Legazpi City,Albay,Lakandula Drive,Gogon,4500,PHL
Legazpi City Skate Park,,,,13.14072,123.76061,Park,,Legazpi City,Albay,Legazpi Boulevard,Puro,4500,PHL
Bantong Monument (Ibalong Epic Hero),,,,13.1277,123.77253,Monument,,Legazpi City,Albay,Legazpi Boulevard,Puro,4500,PHL
Handyong Monument (Ibalong Epic Hero),,,,13.13042,123.76903,Monument,,Legazpi City,Albay,Legazpi Boulevard,Puro,4500,PHL
Chef Lee,,,,13.15514,123.73432,Restaurant,,Legazpi City,Albay,F. Aquende Drive,kawit-East Washington Drive,4500,PHL
Miña's Mayon View Resort,,,,13.18915,123.74355,Resort,,Legazpi City,Albay,Bagong Abre Rd,Bagong Abre,4500,PHL
Cesar's,,,,13.14527,123.78463,Cafe,,Legazpi City,Albay,F. Imperial St,Kapantawan,4500,PHL
Kapihan,,,,13.15303,123.74686,Cafe,,Legazpi City,Albay,Lakandula Drive,Gogon,4500,PHL
Black Lava Trail & Helipad,,,,13.20519,123.71057,Trail,,Legazpi City,Albay,ATV Trail,Mabinit,4500,PHL
Coffee Spot Legazpi,,,,13.15165,123.74292,Cafe,,Legazpi City,Albay,Imelda C. Roces Avenue,Cruzada,4500,PHL
SM City Legazpi,,,,13.14433,123.74383,Mall,,Legazpi City,Albay,9 Imelda Roces Ave,Bitano,4500,PHL
Primos Pares Legazpi,,,,13.14942,123.7474,Restaurant,,Legazpi City,Albay,Our lady's village 1st street,Bitano,4500,PHL
Caffeine Society,,,,13.17316,123.75197,Cafe,,Legazpi City,Albay,Tiwi Coastal Rd,Rawis,4500,PHL
Hap Chan - Legazpi,,,,13.15227,123.74291,Restaurant,,Legazpi City,Albay,Imelda C. Roces Avenue,Cruzada,4500,PHL
Kabana Cafe,,,,13.19198,123.75435,Cafe,,Legazpi City,Albay,Legazpi-Tabaco Rd,Bigaa,4500,PHL
Marison Hotel,,,,13.15587,123.74209,Hotel,,Legazpi City,Albay,Corner Imelda Roces Ave,Gogon,4500,PHL
Hotel Areca,,,,13.13904,123.73236,Hotel,,Legazpi City,Albay,Rizal Street,Ilawod,4500,PHL
Albay Park and Wild Life,,,,13.15747,123.73045,Park,,Legazpi City,Albay,Daraga-Legazpi Diversion Rd,Bogtong,4500,PHL
Ligñon Hill,,,,13.16143,123.72942,Hill,,Legazpi City,Albay,Tiwi Rd,Bogtong,4500,PHL
